Job: 993260 array 1/18  cfg=configs/exp3/gsm8k/exp3__ia3__gsm8k__seed1.yaml
[run_id] exp3__ia3__gsm8k__seed1
[config] {"run_id": "exp3__ia3__gsm8k__seed1", "experiment": "exp3", "seed": 1, "peft_method": "ia3", "task": "gsm8k", "precision": "bf16", "max_steps": 3000, "per_device_train_batch_size": 4, "gradient_accumulation_steps": 8, "learning_rate": 0.003, "max_seq_length": 512, "eval_batch_size": 1, "model_id": "Qwen/Qwen2.5-1.5B", "lora_rank": null, "lora_alpha_mult": 2, "lora_dropout": 0.05, "lora_target_modules": ["q_proj", "v_proj"], "prefix_num_virtual_tokens": null, "ia3_target_modules": ["k_proj", "v_proj", "down_proj"], "ia3_feedforward_modules": ["down_proj"], "weight_decay": 0.0, "warmup_ratio": 0.03, "lr_scheduler_type": "cosine", "eval_max_examples": 500}
[params] trainable=265,216 / total=1,543,979,520 (0.0172%)
[data] gsm8k train rows: 7,473
{'loss': '0.4996', 'grad_norm': '0.009199', 'learning_rate': '0.001633', 'epoch': '0.214'}
{'loss': '0.3509', 'grad_norm': '0.006566', 'learning_rate': '0.003', 'epoch': '0.428'}
{'loss': '0.3508', 'grad_norm': '0.006404', 'learning_rate': '0.002997', 'epoch': '0.6421'}
{'loss': '0.3471', 'grad_norm': '0.007516', 'learning_rate': '0.00299', 'epoch': '0.8561'}
{'loss': '0.3375', 'grad_norm': '0.00702', 'learning_rate': '0.002978', 'epoch': '1.068'}
{'loss': '0.3242', 'grad_norm': '0.007785', 'learning_rate': '0.002962', 'epoch': '1.283'}
{'loss': '0.3301', 'grad_norm': '0.008321', 'learning_rate': '0.002942', 'epoch': '1.497'}
{'loss': '0.3205', 'grad_norm': '0.006073', 'learning_rate': '0.002917', 'epoch': '1.711'}
{'loss': '0.3255', 'grad_norm': '0.007674', 'learning_rate': '0.002889', 'epoch': '1.925'}
{'loss': '0.3137', 'grad_norm': '0.00722', 'learning_rate': '0.002856', 'epoch': '2.137'}
{'loss': '0.3052', 'grad_norm': '0.00782', 'learning_rate': '0.00282', 'epoch': '2.351'}
{'loss': '0.3057', 'grad_norm': '0.006616', 'learning_rate': '0.002779', 'epoch': '2.565'}
{'loss': '0.3069', 'grad_norm': '0.007176', 'learning_rate': '0.002735', 'epoch': '2.779'}
{'loss': '0.3113', 'grad_norm': '0.01057', 'learning_rate': '0.002687', 'epoch': '2.993'}
{'loss': '0.2921', 'grad_norm': '0.006888', 'learning_rate': '0.002636', 'epoch': '3.205'}
{'loss': '0.2849', 'grad_norm': '0.009824', 'learning_rate': '0.002582', 'epoch': '3.419'}
{'loss': '0.2937', 'grad_norm': '0.008366', 'learning_rate': '0.002524', 'epoch': '3.633'}
{'loss': '0.2945', 'grad_norm': '0.008341', 'learning_rate': '0.002463', 'epoch': '3.848'}
{'loss': '0.2882', 'grad_norm': '0.008802', 'learning_rate': '0.0024', 'epoch': '4.06'}
{'loss': '0.2739', 'grad_norm': '0.009012', 'learning_rate': '0.002334', 'epoch': '4.274'}
{'loss': '0.2787', 'grad_norm': '0.008392', 'learning_rate': '0.002265', 'epoch': '4.488'}
{'loss': '0.2755', 'grad_norm': '0.009192', 'learning_rate': '0.002195', 'epoch': '4.702'}
{'loss': '0.2807', 'grad_norm': '0.009776', 'learning_rate': '0.002122', 'epoch': '4.916'}
{'loss': '0.2674', 'grad_norm': '0.01012', 'learning_rate': '0.002047', 'epoch': '5.128'}
{'loss': '0.2576', 'grad_norm': '0.009814', 'learning_rate': '0.001971', 'epoch': '5.342'}
{'loss': '0.2687', 'grad_norm': '0.009238', 'learning_rate': '0.001894', 'epoch': '5.556'}
{'loss': '0.2705', 'grad_norm': '0.01034', 'learning_rate': '0.001815', 'epoch': '5.77'}
{'loss': '0.2656', 'grad_norm': '0.008669', 'learning_rate': '0.001735', 'epoch': '5.984'}
{'loss': '0.2512', 'grad_norm': '0.008665', 'learning_rate': '0.001655', 'epoch': '6.197'}
{'loss': '0.2493', 'grad_norm': '0.01159', 'learning_rate': '0.001574', 'epoch': '6.411'}
{'loss': '0.2456', 'grad_norm': '0.009819', 'learning_rate': '0.001494', 'epoch': '6.625'}
{'loss': '0.2613', 'grad_norm': '0.009438', 'learning_rate': '0.001413', 'epoch': '6.839'}
{'loss': '0.2527', 'grad_norm': '0.00925', 'learning_rate': '0.001332', 'epoch': '7.051'}
{'loss': '0.2387', 'grad_norm': '0.008989', 'learning_rate': '0.001252', 'epoch': '7.265'}
{'loss': '0.2462', 'grad_norm': '0.01002', 'learning_rate': '0.001172', 'epoch': '7.479'}
{'loss': '0.2391', 'grad_norm': '0.01527', 'learning_rate': '0.001094', 'epoch': '7.693'}
{'loss': '0.2436', 'grad_norm': '0.01211', 'learning_rate': '0.001016', 'epoch': '7.907'}
{'loss': '0.2377', 'grad_norm': '0.01046', 'learning_rate': '0.0009406', 'epoch': '8.12'}
{'loss': '0.2274', 'grad_norm': '0.0102', 'learning_rate': '0.0008663', 'epoch': '8.334'}
{'loss': '0.2354', 'grad_norm': '0.01057', 'learning_rate': '0.0007939', 'epoch': '8.548'}
{'loss': '0.2297', 'grad_norm': '0.01279', 'learning_rate': '0.0007235', 'epoch': '8.762'}
{'loss': '0.2383', 'grad_norm': '0.01136', 'learning_rate': '0.0006554', 'epoch': '8.976'}
{'loss': '0.2268', 'grad_norm': '0.0119', 'learning_rate': '0.0005898', 'epoch': '9.188'}
{'loss': '0.2261', 'grad_norm': '0.01031', 'learning_rate': '0.0005268', 'epoch': '9.402'}
{'loss': '0.229', 'grad_norm': '0.01336', 'learning_rate': '0.0004666', 'epoch': '9.616'}
{'loss': '0.2252', 'grad_norm': '0.01142', 'learning_rate': '0.0004094', 'epoch': '9.83'}
{'loss': '0.2203', 'grad_norm': '0.0106', 'learning_rate': '0.0003555', 'epoch': '10.04'}
{'loss': '0.2175', 'grad_norm': '0.01195', 'learning_rate': '0.0003048', 'epoch': '10.26'}
{'loss': '0.2209', 'grad_norm': '0.01258', 'learning_rate': '0.0002577', 'epoch': '10.47'}
{'loss': '0.2136', 'grad_norm': '0.0114', 'learning_rate': '0.0002141', 'epoch': '10.68'}
{'loss': '0.2231', 'grad_norm': '0.01882', 'learning_rate': '0.0001743', 'epoch': '10.9'}
{'loss': '0.2199', 'grad_norm': '0.01065', 'learning_rate': '0.0001384', 'epoch': '11.11'}
{'loss': '0.2145', 'grad_norm': '0.01062', 'learning_rate': '0.0001064', 'epoch': '11.33'}
{'loss': '0.2147', 'grad_norm': '0.01141', 'learning_rate': '7.85e-05', 'epoch': '11.54'}
{'loss': '0.2169', 'grad_norm': '0.01086', 'learning_rate': '5.473e-05', 'epoch': '11.75'}
{'loss': '0.2188', 'grad_norm': '0.0131', 'learning_rate': '3.518e-05', 'epoch': '11.97'}
{'loss': '0.217', 'grad_norm': '0.01233', 'learning_rate': '1.989e-05', 'epoch': '12.18'}
{'loss': '0.2111', 'grad_norm': '0.01172', 'learning_rate': '8.908e-06', 'epoch': '12.39'}
{'loss': '0.2136', 'grad_norm': '0.01206', 'learning_rate': '2.273e-06', 'epoch': '12.61'}
{'loss': '0.2155', 'grad_norm': '0.01047', 'learning_rate': '8.741e-10', 'epoch': '12.82'}
{'train_runtime': '2545', 'train_samples_per_second': '37.73', 'train_steps_per_second': '1.179', 'train_loss': '0.266', 'epoch': '12.82'}
[train] elapsed=2545.0s peak_vram=13.58 GB tokens/s=7020
