Job started at: Mon Apr 27 09:50:16 AM EDT 2026
Running on node: jjs533-compute-02.cs.cornell.edu
Job ID: 939610
Array index: 47 / 54
Config: configs/exp1_lora_rank/exp1__lora_r8__gsm8k__seed2.yaml
[run_id] exp1__lora_r8__gsm8k__seed2
[config] {"run_id": "exp1__lora_r8__gsm8k__seed2", "experiment": "exp1", "seed": 2, "peft_method": "lora", "task": "gsm8k", "precision": "bf16", "max_steps": 3000, "per_device_train_batch_size": 4, "gradient_accumulation_steps": 8, "learning_rate": 0.0002, "max_seq_length": 512, "eval_batch_size": 1, "model_id": "Qwen/Qwen2.5-1.5B", "lora_rank": 8, "lora_alpha_mult": 2, "lora_dropout": 0.05, "lora_target_modules": ["q_proj", "v_proj"], "prefix_num_virtual_tokens": null, "ia3_target_modules": ["k_proj", "v_proj", "down_proj"], "ia3_feedforward_modules": ["down_proj"], "weight_decay": 0.0, "warmup_ratio": 0.03, "lr_scheduler_type": "cosine", "eval_max_examples": 500}
[params] trainable=1,089,536 / total=1,544,803,840 (0.0705%)
[data] gsm8k train rows: 7,473
{'loss': '0.5826', 'grad_norm': '0.03461', 'learning_rate': '0.0001089', 'epoch': '0.214'}
{'loss': '0.3686', 'grad_norm': '0.02178', 'learning_rate': '0.0002', 'epoch': '0.428'}
{'loss': '0.349', 'grad_norm': '0.02264', 'learning_rate': '0.0001998', 'epoch': '0.6421'}
{'loss': '0.3385', 'grad_norm': '0.02152', 'learning_rate': '0.0001993', 'epoch': '0.8561'}
{'loss': '0.3442', 'grad_norm': '0.02187', 'learning_rate': '0.0001985', 'epoch': '1.068'}
{'loss': '0.3391', 'grad_norm': '0.02188', 'learning_rate': '0.0001975', 'epoch': '1.283'}
{'loss': '0.3356', 'grad_norm': '0.02367', 'learning_rate': '0.0001961', 'epoch': '1.497'}
{'loss': '0.3295', 'grad_norm': '0.02296', 'learning_rate': '0.0001945', 'epoch': '1.711'}
{'loss': '0.3293', 'grad_norm': '0.0253', 'learning_rate': '0.0001926', 'epoch': '1.925'}
{'loss': '0.3302', 'grad_norm': '0.02509', 'learning_rate': '0.0001904', 'epoch': '2.137'}
{'loss': '0.3228', 'grad_norm': '0.02732', 'learning_rate': '0.000188', 'epoch': '2.351'}
{'loss': '0.3208', 'grad_norm': '0.02478', 'learning_rate': '0.0001853', 'epoch': '2.565'}
{'loss': '0.3201', 'grad_norm': '0.02909', 'learning_rate': '0.0001823', 'epoch': '2.779'}
{'loss': '0.3232', 'grad_norm': '0.02788', 'learning_rate': '0.0001792', 'epoch': '2.993'}
{'loss': '0.3108', 'grad_norm': '0.02578', 'learning_rate': '0.0001757', 'epoch': '3.205'}
{'loss': '0.3146', 'grad_norm': '0.02817', 'learning_rate': '0.0001721', 'epoch': '3.419'}
{'loss': '0.3112', 'grad_norm': '0.03051', 'learning_rate': '0.0001683', 'epoch': '3.633'}
{'loss': '0.3097', 'grad_norm': '0.02926', 'learning_rate': '0.0001642', 'epoch': '3.848'}
{'loss': '0.3096', 'grad_norm': '0.03665', 'learning_rate': '0.00016', 'epoch': '4.06'}
{'loss': '0.2959', 'grad_norm': '0.03435', 'learning_rate': '0.0001556', 'epoch': '4.274'}
{'loss': '0.2984', 'grad_norm': '0.03129', 'learning_rate': '0.000151', 'epoch': '4.488'}
{'loss': '0.3049', 'grad_norm': '0.03332', 'learning_rate': '0.0001463', 'epoch': '4.702'}
{'loss': '0.3026', 'grad_norm': '0.03362', 'learning_rate': '0.0001415', 'epoch': '4.916'}
{'loss': '0.293', 'grad_norm': '0.03641', 'learning_rate': '0.0001365', 'epoch': '5.128'}
{'loss': '0.2846', 'grad_norm': '0.03772', 'learning_rate': '0.0001314', 'epoch': '5.342'}
{'loss': '0.2908', 'grad_norm': '0.03454', 'learning_rate': '0.0001262', 'epoch': '5.556'}
{'loss': '0.2897', 'grad_norm': '0.0363', 'learning_rate': '0.000121', 'epoch': '5.77'}
{'loss': '0.2908', 'grad_norm': '0.03888', 'learning_rate': '0.0001157', 'epoch': '5.984'}
{'loss': '0.277', 'grad_norm': '0.04059', 'learning_rate': '0.0001103', 'epoch': '6.197'}
{'loss': '0.2823', 'grad_norm': '0.03699', 'learning_rate': '0.000105', 'epoch': '6.411'}
{'loss': '0.2779', 'grad_norm': '0.04477', 'learning_rate': '9.957e-05', 'epoch': '6.625'}
{'loss': '0.2762', 'grad_norm': '0.0414', 'learning_rate': '9.417e-05', 'epoch': '6.839'}
{'loss': '0.2807', 'grad_norm': '0.04194', 'learning_rate': '8.88e-05', 'epoch': '7.051'}
{'loss': '0.2655', 'grad_norm': '0.0442', 'learning_rate': '8.345e-05', 'epoch': '7.265'}
{'loss': '0.2719', 'grad_norm': '0.04241', 'learning_rate': '7.815e-05', 'epoch': '7.479'}
{'loss': '0.2703', 'grad_norm': '0.04561', 'learning_rate': '7.292e-05', 'epoch': '7.693'}
{'loss': '0.2688', 'grad_norm': '0.03989', 'learning_rate': '6.777e-05', 'epoch': '7.907'}
{'loss': '0.2712', 'grad_norm': '0.03955', 'learning_rate': '6.271e-05', 'epoch': '8.12'}
{'loss': '0.2618', 'grad_norm': '0.04515', 'learning_rate': '5.775e-05', 'epoch': '8.334'}
{'loss': '0.2681', 'grad_norm': '0.04626', 'learning_rate': '5.293e-05', 'epoch': '8.548'}
{'loss': '0.2562', 'grad_norm': '0.04391', 'learning_rate': '4.823e-05', 'epoch': '8.762'}
{'loss': '0.2618', 'grad_norm': '0.04198', 'learning_rate': '4.369e-05', 'epoch': '8.976'}
{'loss': '0.2552', 'grad_norm': '0.0518', 'learning_rate': '3.932e-05', 'epoch': '9.188'}
{'loss': '0.2556', 'grad_norm': '0.04065', 'learning_rate': '3.512e-05', 'epoch': '9.402'}
{'loss': '0.2503', 'grad_norm': '0.04023', 'learning_rate': '3.111e-05', 'epoch': '9.616'}
{'loss': '0.257', 'grad_norm': '0.04583', 'learning_rate': '2.73e-05', 'epoch': '9.83'}
{'loss': '0.2568', 'grad_norm': '0.04966', 'learning_rate': '2.37e-05', 'epoch': '10.04'}
{'loss': '0.2491', 'grad_norm': '0.04962', 'learning_rate': '2.032e-05', 'epoch': '10.26'}
{'loss': '0.251', 'grad_norm': '0.04195', 'learning_rate': '1.718e-05', 'epoch': '10.47'}
{'loss': '0.2532', 'grad_norm': '0.04536', 'learning_rate': '1.427e-05', 'epoch': '10.68'}
{'loss': '0.2533', 'grad_norm': '0.04509', 'learning_rate': '1.162e-05', 'epoch': '10.9'}
{'loss': '0.2489', 'grad_norm': '0.05009', 'learning_rate': '9.225e-06', 'epoch': '11.11'}
{'loss': '0.2536', 'grad_norm': '0.05221', 'learning_rate': '7.094e-06', 'epoch': '11.33'}
{'loss': '0.2462', 'grad_norm': '0.05212', 'learning_rate': '5.233e-06', 'epoch': '11.54'}
{'loss': '0.2471', 'grad_norm': '0.05081', 'learning_rate': '3.649e-06', 'epoch': '11.75'}
{'loss': '0.2497', 'grad_norm': '0.04869', 'learning_rate': '2.345e-06', 'epoch': '11.97'}
{'loss': '0.2446', 'grad_norm': '0.04646', 'learning_rate': '1.326e-06', 'epoch': '12.18'}
{'loss': '0.2455', 'grad_norm': '0.04517', 'learning_rate': '5.939e-07', 'epoch': '12.39'}
{'loss': '0.2519', 'grad_norm': '0.05593', 'learning_rate': '1.515e-07', 'epoch': '12.61'}
{'loss': '0.2535', 'grad_norm': '0.04756', 'learning_rate': '5.828e-11', 'epoch': '12.82'}
{'train_runtime': '2371', 'train_samples_per_second': '40.5', 'train_steps_per_second': '1.266', 'train_loss': '0.2909', 'epoch': '12.82'}
[train] elapsed=2370.8s peak_vram=11.95 GB tokens/s=7535
