Job started at: Mon Apr 27 06:00:11 AM EDT 2026
Running on node: duchin-compute-01.cis.cornell.edu
Job ID: 939406
Array index: 30 / 54
Config: configs/exp1_lora_rank/exp1__lora_r4__hellaswag__seed0.yaml
[run_id] exp1__lora_r4__hellaswag__seed0
[config] {"run_id": "exp1__lora_r4__hellaswag__seed0", "experiment": "exp1", "seed": 0, "peft_method": "lora", "task": "hellaswag", "precision": "bf16", "max_steps": 2000, "per_device_train_batch_size": 8, "gradient_accumulation_steps": 4, "learning_rate": 0.0002, "max_seq_length": 256, "eval_batch_size": 8, "model_id": "Qwen/Qwen2.5-1.5B", "lora_rank": 4, "lora_alpha_mult": 2, "lora_dropout": 0.05, "lora_target_modules": ["q_proj", "v_proj"], "prefix_num_virtual_tokens": null, "ia3_target_modules": ["k_proj", "v_proj", "down_proj"], "ia3_feedforward_modules": ["down_proj"], "weight_decay": 0.0, "warmup_ratio": 0.03, "lr_scheduler_type": "cosine", "eval_max_examples": 2000}
[params] trainable=544,768 / total=1,544,259,072 (0.0353%)
[data] hellaswag train rows: 39,905
{'loss': '2.367', 'grad_norm': '0.09915', 'learning_rate': '0.0001633', 'epoch': '0.04009'}
{'loss': '2.195', 'grad_norm': '0.1082', 'learning_rate': '0.0001998', 'epoch': '0.08018'}
{'loss': '2.154', 'grad_norm': '0.1615', 'learning_rate': '0.000199', 'epoch': '0.1203'}
{'loss': '2.121', 'grad_norm': '0.1362', 'learning_rate': '0.0001975', 'epoch': '0.1604'}
{'loss': '2.125', 'grad_norm': '0.1822', 'learning_rate': '0.0001954', 'epoch': '0.2004'}
{'loss': '2.079', 'grad_norm': '0.1111', 'learning_rate': '0.0001926', 'epoch': '0.2405'}
{'loss': '2.097', 'grad_norm': '0.1473', 'learning_rate': '0.0001892', 'epoch': '0.2806'}
{'loss': '2.107', 'grad_norm': '0.2143', 'learning_rate': '0.0001853', 'epoch': '0.3207'}
{'loss': '2.069', 'grad_norm': '0.1067', 'learning_rate': '0.0001808', 'epoch': '0.3608'}
{'loss': '2.081', 'grad_norm': '0.1315', 'learning_rate': '0.0001758', 'epoch': '0.4009'}
{'loss': '2.09', 'grad_norm': '0.1562', 'learning_rate': '0.0001703', 'epoch': '0.441'}
{'loss': '2.068', 'grad_norm': '0.1338', 'learning_rate': '0.0001643', 'epoch': '0.4811'}
{'loss': '2.089', 'grad_norm': '0.2381', 'learning_rate': '0.0001579', 'epoch': '0.5211'}
{'loss': '2.072', 'grad_norm': '0.119', 'learning_rate': '0.0001511', 'epoch': '0.5612'}
{'loss': '2.067', 'grad_norm': '0.1421', 'learning_rate': '0.000144', 'epoch': '0.6013'}
{'loss': '2.073', 'grad_norm': '0.1323', 'learning_rate': '0.0001365', 'epoch': '0.6414'}
{'loss': '2.05', 'grad_norm': '0.1214', 'learning_rate': '0.0001289', 'epoch': '0.6815'}
{'loss': '2.059', 'grad_norm': '0.1205', 'learning_rate': '0.0001211', 'epoch': '0.7216'}
{'loss': '2.085', 'grad_norm': '0.132', 'learning_rate': '0.0001131', 'epoch': '0.7617'}
{'loss': '2.045', 'grad_norm': '0.1446', 'learning_rate': '0.000105', 'epoch': '0.8018'}
{'loss': '2.067', 'grad_norm': '0.1626', 'learning_rate': '9.692e-05', 'epoch': '0.8419'}
{'loss': '2.097', 'grad_norm': '0.1331', 'learning_rate': '8.885e-05', 'epoch': '0.8819'}
{'loss': '2.079', 'grad_norm': '0.1313', 'learning_rate': '8.085e-05', 'epoch': '0.922'}
{'loss': '2.064', 'grad_norm': '0.1071', 'learning_rate': '7.297e-05', 'epoch': '0.9621'}
{'loss': '2.07', 'grad_norm': '0.1133', 'learning_rate': '6.527e-05', 'epoch': '1.002'}
{'loss': '2.079', 'grad_norm': '0.1598', 'learning_rate': '5.78e-05', 'epoch': '1.042'}
{'loss': '2.05', 'grad_norm': '0.1802', 'learning_rate': '5.061e-05', 'epoch': '1.082'}
{'loss': '2.046', 'grad_norm': '0.1321', 'learning_rate': '4.374e-05', 'epoch': '1.122'}
{'loss': '2.045', 'grad_norm': '0.134', 'learning_rate': '3.724e-05', 'epoch': '1.162'}
{'loss': '2.085', 'grad_norm': '0.1213', 'learning_rate': '3.114e-05', 'epoch': '1.202'}
{'loss': '2.058', 'grad_norm': '0.1381', 'learning_rate': '2.551e-05', 'epoch': '1.242'}
{'loss': '2.055', 'grad_norm': '0.1352', 'learning_rate': '2.035e-05', 'epoch': '1.282'}
{'loss': '2.046', 'grad_norm': '0.1576', 'learning_rate': '1.572e-05', 'epoch': '1.322'}
{'loss': '2.081', 'grad_norm': '0.146', 'learning_rate': '1.165e-05', 'epoch': '1.362'}
{'loss': '2.06', 'grad_norm': '0.1993', 'learning_rate': '8.148e-06', 'epoch': '1.402'}
{'loss': '2.042', 'grad_norm': '0.1262', 'learning_rate': '5.251e-06', 'epoch': '1.443'}
{'loss': '2.057', 'grad_norm': '0.1552', 'learning_rate': '2.975e-06', 'epoch': '1.483'}
{'loss': '2.058', 'grad_norm': '0.1785', 'learning_rate': '1.335e-06', 'epoch': '1.523'}
{'loss': '2.038', 'grad_norm': '0.1475', 'learning_rate': '3.408e-07', 'epoch': '1.563'}
{'loss': '2.049', 'grad_norm': '0.1691', 'learning_rate': '1.311e-10', 'epoch': '1.603'}
{'train_runtime': '694.2', 'train_samples_per_second': '92.19', 'train_steps_per_second': '2.881', 'train_loss': '2.083', 'epoch': '1.603'}
[train] elapsed=694.4s peak_vram=8.24 GB tokens/s=7135
[eval] {'acc': 0.482, 'acc_norm': 0.604, 'n': 2000}
[done] wrote results/runs/exp1__lora_r4__hellaswag__seed0/
