Job started at: Mon Apr 27 06:13:07 AM EDT 2026
Running on node: duchin-compute-01.cis.cornell.edu
Job ID: 939419
Array index: 31 / 54
Config: configs/exp1_lora_rank/exp1__lora_r4__hellaswag__seed1.yaml
[run_id] exp1__lora_r4__hellaswag__seed1
[config] {"run_id": "exp1__lora_r4__hellaswag__seed1", "experiment": "exp1", "seed": 1, "peft_method": "lora", "task": "hellaswag", "precision": "bf16", "max_steps": 2000, "per_device_train_batch_size": 8, "gradient_accumulation_steps": 4, "learning_rate": 0.0002, "max_seq_length": 256, "eval_batch_size": 8, "model_id": "Qwen/Qwen2.5-1.5B", "lora_rank": 4, "lora_alpha_mult": 2, "lora_dropout": 0.05, "lora_target_modules": ["q_proj", "v_proj"], "prefix_num_virtual_tokens": null, "ia3_target_modules": ["k_proj", "v_proj", "down_proj"], "ia3_feedforward_modules": ["down_proj"], "weight_decay": 0.0, "warmup_ratio": 0.03, "lr_scheduler_type": "cosine", "eval_max_examples": 2000}
[params] trainable=544,768 / total=1,544,259,072 (0.0353%)
[data] hellaswag train rows: 39,905
{'loss': '2.409', 'grad_norm': '0.1007', 'learning_rate': '0.0001633', 'epoch': '0.04009'}
{'loss': '2.179', 'grad_norm': '0.1564', 'learning_rate': '0.0001998', 'epoch': '0.08018'}
{'loss': '2.132', 'grad_norm': '0.1524', 'learning_rate': '0.000199', 'epoch': '0.1203'}
{'loss': '2.105', 'grad_norm': '0.11', 'learning_rate': '0.0001975', 'epoch': '0.1604'}
{'loss': '2.134', 'grad_norm': '0.1776', 'learning_rate': '0.0001954', 'epoch': '0.2004'}
{'loss': '2.108', 'grad_norm': '0.142', 'learning_rate': '0.0001926', 'epoch': '0.2405'}
{'loss': '2.085', 'grad_norm': '0.1544', 'learning_rate': '0.0001892', 'epoch': '0.2806'}
{'loss': '2.086', 'grad_norm': '0.2718', 'learning_rate': '0.0001853', 'epoch': '0.3207'}
{'loss': '2.114', 'grad_norm': '0.1333', 'learning_rate': '0.0001808', 'epoch': '0.3608'}
{'loss': '2.085', 'grad_norm': '0.18', 'learning_rate': '0.0001758', 'epoch': '0.4009'}
{'loss': '2.065', 'grad_norm': '0.1353', 'learning_rate': '0.0001703', 'epoch': '0.441'}
{'loss': '2.088', 'grad_norm': '0.1434', 'learning_rate': '0.0001643', 'epoch': '0.4811'}
{'loss': '2.081', 'grad_norm': '0.22', 'learning_rate': '0.0001579', 'epoch': '0.5211'}
{'loss': '2.055', 'grad_norm': '0.1416', 'learning_rate': '0.0001511', 'epoch': '0.5612'}
{'loss': '2.066', 'grad_norm': '0.1851', 'learning_rate': '0.000144', 'epoch': '0.6013'}
{'loss': '2.073', 'grad_norm': '0.1411', 'learning_rate': '0.0001365', 'epoch': '0.6414'}
{'loss': '2.078', 'grad_norm': '0.1863', 'learning_rate': '0.0001289', 'epoch': '0.6815'}
{'loss': '2.069', 'grad_norm': '0.1833', 'learning_rate': '0.0001211', 'epoch': '0.7216'}
{'loss': '2.067', 'grad_norm': '0.1721', 'learning_rate': '0.0001131', 'epoch': '0.7617'}
{'loss': '2.068', 'grad_norm': '0.1376', 'learning_rate': '0.000105', 'epoch': '0.8018'}
{'loss': '2.072', 'grad_norm': '0.1261', 'learning_rate': '9.692e-05', 'epoch': '0.8419'}
{'loss': '2.062', 'grad_norm': '0.1297', 'learning_rate': '8.885e-05', 'epoch': '0.8819'}
{'loss': '2.067', 'grad_norm': '0.1176', 'learning_rate': '8.085e-05', 'epoch': '0.922'}
{'loss': '2.061', 'grad_norm': '0.1358', 'learning_rate': '7.297e-05', 'epoch': '0.9621'}
{'loss': '2.067', 'grad_norm': '0.1175', 'learning_rate': '6.527e-05', 'epoch': '1.002'}
{'loss': '2.043', 'grad_norm': '0.1201', 'learning_rate': '5.78e-05', 'epoch': '1.042'}
{'loss': '2.058', 'grad_norm': '0.1353', 'learning_rate': '5.061e-05', 'epoch': '1.082'}
{'loss': '2.066', 'grad_norm': '0.1309', 'learning_rate': '4.374e-05', 'epoch': '1.122'}
{'loss': '2.049', 'grad_norm': '0.1521', 'learning_rate': '3.724e-05', 'epoch': '1.162'}
{'loss': '2.058', 'grad_norm': '0.1208', 'learning_rate': '3.114e-05', 'epoch': '1.202'}
{'loss': '2.042', 'grad_norm': '0.1279', 'learning_rate': '2.551e-05', 'epoch': '1.242'}
{'loss': '2.046', 'grad_norm': '0.1349', 'learning_rate': '2.035e-05', 'epoch': '1.282'}
{'loss': '2.042', 'grad_norm': '0.1589', 'learning_rate': '1.572e-05', 'epoch': '1.322'}
{'loss': '2.061', 'grad_norm': '0.1387', 'learning_rate': '1.165e-05', 'epoch': '1.362'}
{'loss': '2.034', 'grad_norm': '0.2034', 'learning_rate': '8.148e-06', 'epoch': '1.402'}
{'loss': '2.046', 'grad_norm': '0.1259', 'learning_rate': '5.251e-06', 'epoch': '1.443'}
{'loss': '2.069', 'grad_norm': '0.1916', 'learning_rate': '2.975e-06', 'epoch': '1.483'}
{'loss': '2.065', 'grad_norm': '0.1245', 'learning_rate': '1.335e-06', 'epoch': '1.523'}
{'loss': '2.067', 'grad_norm': '0.1477', 'learning_rate': '3.408e-07', 'epoch': '1.563'}
{'loss': '2.083', 'grad_norm': '0.1454', 'learning_rate': '1.311e-10', 'epoch': '1.603'}
{'train_runtime': '699.3', 'train_samples_per_second': '91.51', 'train_steps_per_second': '2.86', 'train_loss': '2.083', 'epoch': '1.603'}
[train] elapsed=699.6s peak_vram=8.24 GB tokens/s=7082
[eval] {'acc': 0.4805, 'acc_norm': 0.595, 'n': 2000}
[done] wrote results/runs/exp1__lora_r4__hellaswag__seed1/
