Job: 981019 array 11/18  cfg=configs/exp2/hellaswag/exp2__lora_r16_int4__hellaswag__seed2.yaml
[run_id] exp2__lora_r16_int4__hellaswag__seed2
[config] {"run_id": "exp2__lora_r16_int4__hellaswag__seed2", "experiment": "exp2", "seed": 2, "peft_method": "lora", "task": "hellaswag", "precision": "int4", "max_steps": 2000, "per_device_train_batch_size": 8, "gradient_accumulation_steps": 4, "learning_rate": 0.0002, "max_seq_length": 256, "eval_batch_size": 8, "model_id": "Qwen/Qwen2.5-1.5B", "lora_rank": 16, "lora_alpha_mult": 2, "lora_dropout": 0.05, "lora_target_modules": ["q_proj", "v_proj"], "prefix_num_virtual_tokens": null, "ia3_target_modules": ["k_proj", "v_proj", "down_proj"], "ia3_feedforward_modules": ["down_proj"], "weight_decay": 0.0, "warmup_ratio": 0.03, "lr_scheduler_type": "cosine", "eval_max_examples": 2000}
[params] trainable=2,179,072 / total=890,795,520 (0.2446%)
[data] hellaswag train rows: 39,905
{'loss': '2.354', 'grad_norm': '0.1468', 'learning_rate': '0.0001633', 'epoch': '0.04009'}
{'loss': '2.198', 'grad_norm': '0.1625', 'learning_rate': '0.0001998', 'epoch': '0.08018'}
{'loss': '2.164', 'grad_norm': '0.1438', 'learning_rate': '0.000199', 'epoch': '0.1203'}
{'loss': '2.123', 'grad_norm': '0.2029', 'learning_rate': '0.0001975', 'epoch': '0.1604'}
{'loss': '2.134', 'grad_norm': '0.1548', 'learning_rate': '0.0001954', 'epoch': '0.2004'}
{'loss': '2.108', 'grad_norm': '0.1659', 'learning_rate': '0.0001926', 'epoch': '0.2405'}
{'loss': '2.108', 'grad_norm': '0.1565', 'learning_rate': '0.0001892', 'epoch': '0.2806'}
{'loss': '2.1', 'grad_norm': '0.1682', 'learning_rate': '0.0001853', 'epoch': '0.3207'}
{'loss': '2.115', 'grad_norm': '0.132', 'learning_rate': '0.0001808', 'epoch': '0.3608'}
{'loss': '2.081', 'grad_norm': '0.2047', 'learning_rate': '0.0001758', 'epoch': '0.4009'}
{'loss': '2.101', 'grad_norm': '0.219', 'learning_rate': '0.0001703', 'epoch': '0.441'}
{'loss': '2.113', 'grad_norm': '0.1446', 'learning_rate': '0.0001643', 'epoch': '0.4811'}
{'loss': '2.109', 'grad_norm': '0.1467', 'learning_rate': '0.0001579', 'epoch': '0.5211'}
{'loss': '2.111', 'grad_norm': '0.1309', 'learning_rate': '0.0001511', 'epoch': '0.5612'}
{'loss': '2.127', 'grad_norm': '0.1984', 'learning_rate': '0.000144', 'epoch': '0.6013'}
{'loss': '2.101', 'grad_norm': '0.1266', 'learning_rate': '0.0001365', 'epoch': '0.6414'}
{'loss': '2.076', 'grad_norm': '0.1336', 'learning_rate': '0.0001289', 'epoch': '0.6815'}
{'loss': '2.11', 'grad_norm': '0.1413', 'learning_rate': '0.0001211', 'epoch': '0.7216'}
{'loss': '2.078', 'grad_norm': '0.126', 'learning_rate': '0.0001131', 'epoch': '0.7617'}
{'loss': '2.084', 'grad_norm': '0.139', 'learning_rate': '0.000105', 'epoch': '0.8018'}
{'loss': '2.115', 'grad_norm': '0.1488', 'learning_rate': '9.692e-05', 'epoch': '0.8419'}
{'loss': '2.089', 'grad_norm': '0.1383', 'learning_rate': '8.885e-05', 'epoch': '0.8819'}
{'loss': '2.094', 'grad_norm': '0.1297', 'learning_rate': '8.085e-05', 'epoch': '0.922'}
{'loss': '2.093', 'grad_norm': '0.1344', 'learning_rate': '7.297e-05', 'epoch': '0.9621'}
{'loss': '2.096', 'grad_norm': '0.1673', 'learning_rate': '6.527e-05', 'epoch': '1.002'}
{'loss': '2.061', 'grad_norm': '0.1651', 'learning_rate': '5.78e-05', 'epoch': '1.042'}
{'loss': '2.065', 'grad_norm': '0.1638', 'learning_rate': '5.061e-05', 'epoch': '1.082'}
{'loss': '2.042', 'grad_norm': '0.1478', 'learning_rate': '4.374e-05', 'epoch': '1.122'}
{'loss': '2.064', 'grad_norm': '0.132', 'learning_rate': '3.724e-05', 'epoch': '1.162'}
{'loss': '2.057', 'grad_norm': '0.1484', 'learning_rate': '3.114e-05', 'epoch': '1.202'}
{'loss': '2.065', 'grad_norm': '0.1262', 'learning_rate': '2.551e-05', 'epoch': '1.242'}
{'loss': '2.068', 'grad_norm': '0.133', 'learning_rate': '2.035e-05', 'epoch': '1.282'}
{'loss': '2.075', 'grad_norm': '0.1424', 'learning_rate': '1.572e-05', 'epoch': '1.322'}
{'loss': '2.043', 'grad_norm': '0.1547', 'learning_rate': '1.165e-05', 'epoch': '1.362'}
{'loss': '2.076', 'grad_norm': '0.1336', 'learning_rate': '8.148e-06', 'epoch': '1.402'}
{'loss': '2.073', 'grad_norm': '0.1324', 'learning_rate': '5.251e-06', 'epoch': '1.443'}
{'loss': '2.061', 'grad_norm': '0.1473', 'learning_rate': '2.975e-06', 'epoch': '1.483'}
{'loss': '2.05', 'grad_norm': '0.1371', 'learning_rate': '1.335e-06', 'epoch': '1.523'}
{'loss': '2.049', 'grad_norm': '0.1526', 'learning_rate': '3.408e-07', 'epoch': '1.563'}
{'loss': '2.054', 'grad_norm': '0.1343', 'learning_rate': '1.311e-10', 'epoch': '1.603'}
{'train_runtime': '2356', 'train_samples_per_second': '27.17', 'train_steps_per_second': '0.849', 'train_loss': '2.097', 'epoch': '1.603'}
[train] elapsed=2356.0s peak_vram=4.55 GB tokens/s=2103
[eval] {'acc': 0.485, 'acc_norm': 0.602, 'n': 2000}
[done] wrote results/runs/exp2__lora_r16_int4__hellaswag__seed2/
