Job started at: Mon Apr 27 08:50:26 AM EDT 2026
Running on node: jjs533-compute-02.cs.cornell.edu
Job ID: 939495
Array index: 45 / 54
Config: configs/exp1_lora_rank/exp1__lora_r8__gsm8k__seed0.yaml
[run_id] exp1__lora_r8__gsm8k__seed0
[config] {"run_id": "exp1__lora_r8__gsm8k__seed0", "experiment": "exp1", "seed": 0, "peft_method": "lora", "task": "gsm8k", "precision": "bf16", "max_steps": 3000, "per_device_train_batch_size": 4, "gradient_accumulation_steps": 8, "learning_rate": 0.0002, "max_seq_length": 512, "eval_batch_size": 1, "model_id": "Qwen/Qwen2.5-1.5B", "lora_rank": 8, "lora_alpha_mult": 2, "lora_dropout": 0.05, "lora_target_modules": ["q_proj", "v_proj"], "prefix_num_virtual_tokens": null, "ia3_target_modules": ["k_proj", "v_proj", "down_proj"], "ia3_feedforward_modules": ["down_proj"], "weight_decay": 0.0, "warmup_ratio": 0.03, "lr_scheduler_type": "cosine", "eval_max_examples": 500}
[params] trainable=1,089,536 / total=1,544,803,840 (0.0705%)
[data] gsm8k train rows: 7,473
{'loss': '0.5854', 'grad_norm': '0.02938', 'learning_rate': '0.0001089', 'epoch': '0.214'}
{'loss': '0.3691', 'grad_norm': '0.02633', 'learning_rate': '0.0002', 'epoch': '0.428'}
{'loss': '0.3486', 'grad_norm': '0.01965', 'learning_rate': '0.0001998', 'epoch': '0.6421'}
{'loss': '0.3486', 'grad_norm': '0.02423', 'learning_rate': '0.0001993', 'epoch': '0.8561'}
{'loss': '0.3426', 'grad_norm': '0.02189', 'learning_rate': '0.0001985', 'epoch': '1.068'}
{'loss': '0.3245', 'grad_norm': '0.02286', 'learning_rate': '0.0001975', 'epoch': '1.283'}
{'loss': '0.331', 'grad_norm': '0.02357', 'learning_rate': '0.0001961', 'epoch': '1.497'}
{'loss': '0.3411', 'grad_norm': '0.02748', 'learning_rate': '0.0001945', 'epoch': '1.711'}
{'loss': '0.3328', 'grad_norm': '0.02199', 'learning_rate': '0.0001926', 'epoch': '1.925'}
{'loss': '0.3322', 'grad_norm': '0.0226', 'learning_rate': '0.0001904', 'epoch': '2.137'}
{'loss': '0.3206', 'grad_norm': '0.02616', 'learning_rate': '0.000188', 'epoch': '2.351'}
{'loss': '0.3255', 'grad_norm': '0.02699', 'learning_rate': '0.0001853', 'epoch': '2.565'}
{'loss': '0.3129', 'grad_norm': '0.02718', 'learning_rate': '0.0001823', 'epoch': '2.779'}
{'loss': '0.3282', 'grad_norm': '0.02716', 'learning_rate': '0.0001792', 'epoch': '2.993'}
{'loss': '0.3132', 'grad_norm': '0.03158', 'learning_rate': '0.0001757', 'epoch': '3.205'}
{'loss': '0.3139', 'grad_norm': '0.03045', 'learning_rate': '0.0001721', 'epoch': '3.419'}
{'loss': '0.3075', 'grad_norm': '0.02952', 'learning_rate': '0.0001683', 'epoch': '3.633'}
{'loss': '0.3073', 'grad_norm': '0.02643', 'learning_rate': '0.0001642', 'epoch': '3.848'}
{'loss': '0.3143', 'grad_norm': '0.02852', 'learning_rate': '0.00016', 'epoch': '4.06'}
{'loss': '0.3018', 'grad_norm': '0.03309', 'learning_rate': '0.0001556', 'epoch': '4.274'}
{'loss': '0.2972', 'grad_norm': '0.03115', 'learning_rate': '0.000151', 'epoch': '4.488'}
{'loss': '0.2987', 'grad_norm': '0.03408', 'learning_rate': '0.0001463', 'epoch': '4.702'}
{'loss': '0.3033', 'grad_norm': '0.03637', 'learning_rate': '0.0001415', 'epoch': '4.916'}
{'loss': '0.2952', 'grad_norm': '0.03433', 'learning_rate': '0.0001365', 'epoch': '5.128'}
{'loss': '0.2862', 'grad_norm': '0.03704', 'learning_rate': '0.0001314', 'epoch': '5.342'}
{'loss': '0.2908', 'grad_norm': '0.03627', 'learning_rate': '0.0001262', 'epoch': '5.556'}
{'loss': '0.2832', 'grad_norm': '0.03778', 'learning_rate': '0.000121', 'epoch': '5.77'}
{'loss': '0.294', 'grad_norm': '0.04064', 'learning_rate': '0.0001157', 'epoch': '5.984'}
{'loss': '0.2742', 'grad_norm': '0.04463', 'learning_rate': '0.0001103', 'epoch': '6.197'}
{'loss': '0.2789', 'grad_norm': '0.04045', 'learning_rate': '0.000105', 'epoch': '6.411'}
{'loss': '0.2819', 'grad_norm': '0.0455', 'learning_rate': '9.957e-05', 'epoch': '6.625'}
{'loss': '0.2824', 'grad_norm': '0.04203', 'learning_rate': '9.417e-05', 'epoch': '6.839'}
{'loss': '0.2752', 'grad_norm': '0.04427', 'learning_rate': '8.88e-05', 'epoch': '7.051'}
{'loss': '0.2669', 'grad_norm': '0.0425', 'learning_rate': '8.345e-05', 'epoch': '7.265'}
{'loss': '0.2701', 'grad_norm': '0.04033', 'learning_rate': '7.815e-05', 'epoch': '7.479'}
{'loss': '0.2626', 'grad_norm': '0.0418', 'learning_rate': '7.292e-05', 'epoch': '7.693'}
{'loss': '0.2732', 'grad_norm': '0.04294', 'learning_rate': '6.777e-05', 'epoch': '7.907'}
{'loss': '0.2652', 'grad_norm': '0.04289', 'learning_rate': '6.271e-05', 'epoch': '8.12'}
{'loss': '0.2648', 'grad_norm': '0.04931', 'learning_rate': '5.775e-05', 'epoch': '8.334'}
{'loss': '0.2601', 'grad_norm': '0.04409', 'learning_rate': '5.293e-05', 'epoch': '8.548'}
{'loss': '0.261', 'grad_norm': '0.04627', 'learning_rate': '4.823e-05', 'epoch': '8.762'}
{'loss': '0.2654', 'grad_norm': '0.04794', 'learning_rate': '4.369e-05', 'epoch': '8.976'}
{'loss': '0.2578', 'grad_norm': '0.04719', 'learning_rate': '3.932e-05', 'epoch': '9.188'}
{'loss': '0.2498', 'grad_norm': '0.04506', 'learning_rate': '3.512e-05', 'epoch': '9.402'}
{'loss': '0.2592', 'grad_norm': '0.04188', 'learning_rate': '3.111e-05', 'epoch': '9.616'}
{'loss': '0.2545', 'grad_norm': '0.05162', 'learning_rate': '2.73e-05', 'epoch': '9.83'}
{'loss': '0.2602', 'grad_norm': '0.04708', 'learning_rate': '2.37e-05', 'epoch': '10.04'}
{'loss': '0.2531', 'grad_norm': '0.04938', 'learning_rate': '2.032e-05', 'epoch': '10.26'}
{'loss': '0.2534', 'grad_norm': '0.05204', 'learning_rate': '1.718e-05', 'epoch': '10.47'}
{'loss': '0.2495', 'grad_norm': '0.04668', 'learning_rate': '1.427e-05', 'epoch': '10.68'}
{'loss': '0.2534', 'grad_norm': '0.04995', 'learning_rate': '1.162e-05', 'epoch': '10.9'}
{'loss': '0.2484', 'grad_norm': '0.04674', 'learning_rate': '9.225e-06', 'epoch': '11.11'}
{'loss': '0.2511', 'grad_norm': '0.05051', 'learning_rate': '7.094e-06', 'epoch': '11.33'}
{'loss': '0.2439', 'grad_norm': '0.04537', 'learning_rate': '5.233e-06', 'epoch': '11.54'}
{'loss': '0.2499', 'grad_norm': '0.0513', 'learning_rate': '3.649e-06', 'epoch': '11.75'}
{'loss': '0.2511', 'grad_norm': '0.04617', 'learning_rate': '2.345e-06', 'epoch': '11.97'}
{'loss': '0.2472', 'grad_norm': '0.04658', 'learning_rate': '1.326e-06', 'epoch': '12.18'}
{'loss': '0.2464', 'grad_norm': '0.04419', 'learning_rate': '5.939e-07', 'epoch': '12.39'}
{'loss': '0.2533', 'grad_norm': '0.05074', 'learning_rate': '1.515e-07', 'epoch': '12.61'}
{'loss': '0.2483', 'grad_norm': '0.05104', 'learning_rate': '5.828e-11', 'epoch': '12.82'}
{'train_runtime': '2442', 'train_samples_per_second': '39.31', 'train_steps_per_second': '1.228', 'train_loss': '0.291', 'epoch': '12.82'}
[train] elapsed=2442.3s peak_vram=11.94 GB tokens/s=7315
