task,precision,task_acc_mean,task_acc_std,task_acc_norm_mean,task_acc_norm_std,trainable_params_mean,trainable_params_std,peak_vram_gb_mean,peak_vram_gb_std,train_seconds_mean,train_seconds_std,train_tokens_per_sec_mean,train_tokens_per_sec_std,acc_per_param_mean,acc_per_param_std,acc_per_gpu_hour_mean,acc_per_gpu_hour_std
gsm8k,bf16,0.5193333333333333,0.006429100507328648,,,2179072.0,0.0,11.975767210666667,0.014029354493761996,2515.9134102022895,147.33763158884014,7116.528449719922,405.7544470109839,2.3832775297619045e-07,2.9503846166297608e-09,0.7445721750065983,0.03814472170004375
gsm8k,fp32,0.49866666666666665,0.009018499505645804,,,2179072.0,0.0,12.765408256,0.0024562923454403275,7635.0094168813275,243.56301416687083,2341.4076897736227,73.58520720966777,2.2884359335839596e-07,4.13868816892961e-09,0.23530879145441466,0.009532840669016752
gsm8k,int4,0.4626666666666666,0.01616580753730951,,,2179072.0,0.0,6.265276245333333,0.00046030973623145,6416.773992280786,199.5312698216717,2785.8406022417635,85.61478496987729,2.1232279918546366e-07,7.418666082309125e-09,0.25984211451179823,0.015014079884495568
hellaswag,bf16,0.4876666666666667,0.0011547005383792486,0.6121666666666666,0.00028867513459485323,2179072.0,0.0,8.268030976,0.0,759.1208729563901,59.39362172271852,6552.6895879818685,498.98838068766213,2.8092998609805763e-07,1.3247618004125564e-10,2.9146786171743826,0.22217370688848284
hellaswag,fp32,0.48616666666666664,0.0012583057392118037,0.6115,0.0018027756377319308,2179072.0,0.0,9.994365781333334,0.0009472636980394885,2417.83014302887,118.07793569100951,2052.424499568974,100.08991951004396,2.806240454652256e-07,8.273134791929568e-10,0.9119086406713685,0.04386663825048521
hellaswag,int4,0.48500000000000004,0.0020000000000000018,0.603,0.0026457513110645613,2179072.0,0.0,4.546929663999999,0.0006275307274961432,2150.950805675859,178.09215436074098,2313.5220354397675,183.0697124113149,2.767233023966165e-07,1.2141642456351066e-09,1.0137121819806887,0.08131426076235995
sst2,bf16,0.9579510703363914,0.0013241978651138606,0.9579510703363914,0.0013241978651138606,2179072.0,0.0,7.846564693333334,0.036904015388873,175.56084163114429,8.061875358981387,3422.309264711496,153.41439496207076,4.3961423502132624e-07,6.076888992717308e-10,19.670157387194863,0.8724837967258385
sst2,fp32,0.9552752293577983,0.002293577981651418,0.9552752293577983,0.002293577981651418,2179072.0,0.0,9.690811050666667,0.025879473387396434,420.0261580316971,9.137734746869237,1428.9365467107873,31.473085717215294,4.3838626229780306e-07,1.0525480487341641e-09,8.19041915856256,0.1972291537986744
sst2,int4,0.9533639143730887,0.0006620989325568903,0.9533639143730887,0.0006620989325568903,2179072.0,0.0,4.362100906666666,0.01586851937543674,498.76345822773874,89.08619483924481,1230.9724439997178,235.90002753527634,4.375091389238579e-07,3.038444496357852e-10,7.042006259636334,1.3546179505959455
